dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,75.54942774772644,0.25833333333333336,0.26,0.003333333333333322,2.43075056778473,3.4288758752376007,12
dataset_name,RF,LCB,1,53.343268156051636,0.44,0.44400000000000006,0.02653299832284319,2.964630246506867,1.919865564777205,5
dataset_name,RF,LCB,2,76.6727967262268,0.26666666666666666,0.2733333333333333,0.025495097567963917,2.3634135137764654,0.3903258306102807,12
dataset_name,RF,LCB,3,51.17095732688904,0.44,0.44000000000000006,0.04381780460041329,4.059225947208436,3.0907360552309604,5
dataset_name,RF,LCB,4,64.2447760105133,0.35714285714285715,0.36000000000000004,0.005714285714285716,3.92601608170656,4.32157959493618,7
dataset_name,RF,LCB,5,70.36604690551758,0.4142857142857143,0.4228571428571429,0.029416086117105698,1.3584994141855624,1.2153303092250276,7
dataset_name,RF,LCB,6,70.39085268974304,0.27,0.272,0.023151673805580458,2.9126166249401573,3.1659087912802306,10
dataset_name,RF,LCB,7,63.890936613082886,0.35,0.3475,0.009354143466934839,4.39683123107909,0.7133464826009853,8
dataset_name,RF,LCB,8,53.46166968345642,0.46,0.45599999999999996,0.014966629547095761,3.3802348186915525,2.522284884903562,5
dataset_name,RF,LCB,9,59.50533747673035,0.45,0.44000000000000006,0.029059326290271154,1.72018663778202,1.6324763051169247,6
dataset_name,RF,LCB,10,56.55541467666626,0.4166666666666667,0.42000000000000004,0.03559026084010438,1.9909596462317447,4.211650431588248,6
dataset_name,RF,LCB,11,56.1561017036438,0.43333333333333335,0.42333333333333334,0.013333333333333329,2.7869023658378187,4.718720308316858,6
dataset_name,RF,LCB,12,66.1439995765686,0.35714285714285715,0.36571428571428577,0.029416086117105725,2.8843269259877258,2.2073911507787365,7
dataset_name,RF,LCB,13,55.66573905944824,0.48333333333333334,0.4866666666666667,0.019436506316151014,0.21949881444792294,4.537696488983425,6
dataset_name,RF,LCB,14,57.043402433395386,0.4166666666666667,0.42333333333333334,0.024944382578492935,4.156322015336648,3.5105443906013614,6
dataset_name,RF,LCB,15,55.826606035232544,0.4166666666666667,0.42000000000000004,0.049888765156985884,1.6427956019140104,4.218992409978564,6
dataset_name,RF,LCB,16,64.86028909683228,0.4142857142857143,0.4,0.036140316116210054,1.7337334008289549,2.884984835633626,7
dataset_name,RF,LCB,17,54.24804139137268,0.5,0.5,0.028284271247461912,0.47221201929991913,1.2744674960214908,5
dataset_name,RF,LCB,18,58.945096015930176,0.48333333333333334,0.49333333333333335,0.05925462944877059,0.5241248353164595,0.43287871292864594,6
dataset_name,RF,LCB,19,61.38609504699707,0.48333333333333334,0.4633333333333334,0.03231786571610885,0.5402547780322631,2.3121714392812467,6
dataset_name,RF,LCB,20,54.99227833747864,0.5166666666666667,0.5,0.02581988897471613,0.24634471149658568,4.751834261293508,6
dataset_name,RF,LCB,21,56.3992486000061,0.43333333333333335,0.45666666666666667,0.051207638319124046,0.9688569322413988,4.59547626723149,6
dataset_name,RF,LCB,22,59.62291741371155,0.45,0.44666666666666666,0.02867441755680875,0.7276460122499622,4.58117502729662,6
dataset_name,RF,LCB,23,65.28187155723572,0.4857142857142857,0.4742857142857143,0.033073819722257786,0.25193906671054717,1.1876060779414048,7
dataset_name,RF,LCB,24,64.89644432067871,0.4857142857142857,0.4885714285714286,0.018952141659173704,0.03814891872723272,3.262074608048895,7
dataset_name,RF,LCB,25,67.17634701728821,0.4714285714285714,0.4685714285714286,0.029137254363387353,0.08593631720108434,1.7582361265314552,7
dataset_name,RF,LCB,26,72.16012525558472,0.425,0.4225,0.02549509756796392,0.24894691761319382,1.3323440480227386,8
dataset_name,RF,LCB,27,68.19772839546204,0.4625,0.48,0.03840572873934302,0.24289140948602878,0.49582763245277595,8
dataset_name,RF,LCB,28,75.19445180892944,0.41,0.414,0.04270831300812524,0.2450517788838031,3.7473605429722223,10
dataset_name,RF,LCB,29,64.28050923347473,0.4625,0.44750000000000006,0.043588989435406726,0.246911266994746,2.9577160961868625,8
