dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,5.761548280715942,0.10666666666666667,0.10533333333333332,0.004988876515698585,2.43075056778473,3.4288758752376007,15
dataset_name,RF,LCB,1,5.515387296676636,0.28,0.29200000000000004,0.015999999999999986,2.964630246506867,1.919865564777205,5
dataset_name,RF,LCB,2,6.406020641326904,0.25,0.24666666666666667,0.012472191289246468,1.611829307557815,2.9861546717874874,6
dataset_name,RF,LCB,3,4.832993507385254,0.13333333333333333,0.12999999999999998,0.00408248290463863,4.509781223032633,0.9548581064535537,12
dataset_name,RF,LCB,4,5.115803241729736,0.10666666666666667,0.10533333333333335,0.004988876515698585,3.743369773896765,1.0214903707794427,15
dataset_name,RF,LCB,5,10.374395847320557,0.3923076923076923,0.3953846153846154,0.024129826371320183,0.04695574258861287,3.958236302750106,13
dataset_name,RF,LCB,6,7.61112904548645,0.25,0.25,0.014907119849998594,1.2894659204961765,0.5262259976121065,6
dataset_name,RF,LCB,7,7.03510594367981,0.3,0.29200000000000004,0.009797958971132694,1.536613827249687,3.6234732361142163,5
dataset_name,RF,LCB,8,12.049507856369019,0.4,0.39384615384615385,0.0178089798504465,0.20435123419152432,3.3761597096170393,13
dataset_name,RF,LCB,9,5.178284406661987,0.11428571428571428,0.11285714285714285,0.00534522483824849,1.3028482507210415,3.4359734932615575,14
dataset_name,RF,LCB,10,6.126352787017822,0.12307692307692308,0.12307692307692308,0.006880209161537815,1.1018582336554545,4.58872730508751,13
dataset_name,RF,LCB,11,11.518648624420166,0.35384615384615387,0.3584615384615385,0.013411996749355913,0.06600241171586102,3.226354248589471,13
dataset_name,RF,LCB,12,12.587116003036499,0.36428571428571427,0.3728571428571429,0.01884415136896131,0.26561213712986254,3.33252751531979,14
dataset_name,RF,LCB,13,9.619566917419434,0.35333333333333333,0.36266666666666664,0.02004439517116388,0.06095594322842423,3.4584337252505013,15
dataset_name,RF,LCB,14,8.14983057975769,0.12666666666666668,0.12,0.010327955589886448,0.6782926249824568,4.036602991085189,15
dataset_name,RF,LCB,15,14.910527229309082,0.22,0.22400000000000003,0.007999999999999997,0.4428236010625776,4.966664897090928,15
dataset_name,RF,LCB,16,13.832768440246582,0.35,0.3571428571428571,0.011952286093343947,0.33741128861274167,3.5570288725677277,14
dataset_name,RF,LCB,17,13.70940089225769,0.3,0.3026666666666667,0.015549205052920798,0.3777029985986791,0.980116389849289,15
dataset_name,RF,LCB,18,14.533121347427368,0.3153846153846154,0.31846153846153846,0.015073783032511865,0.3996515918112802,4.629002436499057,13
dataset_name,RF,LCB,19,15.56158709526062,0.26666666666666666,0.2693333333333333,0.024073960113690375,0.41359034927168925,3.4310545889259583,15
dataset_name,RF,LCB,20,17.796703577041626,0.30714285714285716,0.3042857142857143,0.02240626734479732,0.39788657153550006,2.2718845543212063,14
dataset_name,RF,LCB,21,14.36676025390625,0.37333333333333335,0.368,0.00979795897113272,0.26179726980300516,3.5005519841088057,15
dataset_name,RF,LCB,22,15.642319917678833,0.29285714285714287,0.2985714285714286,0.01049781318335648,0.41071542132311184,4.595690962543222,14
dataset_name,RF,LCB,23,13.04124903678894,0.42,0.41600000000000004,0.010198039027185562,0.29987463301241857,4.93546509931149,10
dataset_name,RF,LCB,24,14.5543954372406,0.4222222222222222,0.4288888888888889,0.013333333333333327,0.3271998082500989,4.87090669629815,9
dataset_name,RF,LCB,25,16.94585084915161,0.3416666666666667,0.3416666666666667,0.029814239699997188,0.3502898727998975,4.484919981151243,12
dataset_name,RF,LCB,26,16.11242985725403,0.37777777777777777,0.38222222222222224,0.020608041101101572,0.33055109654045817,4.77180924403307,9
dataset_name,RF,LCB,27,15.743284702301025,0.4666666666666667,0.47000000000000003,0.02211083193570266,0.3188824628083212,4.788007201380591,6
dataset_name,RF,LCB,28,14.125273942947388,0.4125,0.42000000000000004,0.03221024681681281,0.3438202880896151,4.784367760991648,8
dataset_name,RF,LCB,29,15.497081756591797,0.43333333333333335,0.42333333333333334,0.022607766610417555,0.35576392745104196,4.993492007145846,6
