dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,155.46242690086365,-0.006305852040948131,-0.006189256969366782,0.001318238837741179,2.43075056778473,3.4288758752376007,15
dataset_name,RF,LCB,1,121.04403018951416,-0.0006943220507598074,-0.00031797081561564625,0.008155932327645093,2.964630246506867,1.919865564777205,5
dataset_name,RF,LCB,2,127.11912941932678,0.0011985703905414205,0.0010014067847969447,0.0031751021825383078,1.611829307557815,2.9861546717874874,6
dataset_name,RF,LCB,3,143.73762679100037,-0.003043572439244881,-0.0009662997618972172,0.003910507630460898,4.509781223032633,0.9548581064535537,12
dataset_name,RF,LCB,4,150.3973250389099,-0.0016836874702427702,-0.00237725643315598,0.0024330520321774332,3.743369773896765,1.0214903707794427,15
dataset_name,RF,LCB,5,157.54886603355408,0.010861760502820365,0.008022991850714836,0.007402632872915076,0.04695574258861287,3.958236302750106,13
dataset_name,RF,LCB,6,151.66970872879028,-0.00442432996876922,-0.0041609557807384834,0.004101507643593789,2.035185193473529,4.679770955257306,14
dataset_name,RF,LCB,7,155.17357110977173,0.006513854540249461,0.004759939846654714,0.005144446560464416,0.5628227115070998,4.126760106927015,11
dataset_name,RF,LCB,8,146.07279062271118,-0.005124626982743843,-0.002566610113987595,0.008409906001391059,0.7220653595766506,4.778121337914428,8
dataset_name,RF,LCB,9,153.75561833381653,-0.0032629958245294884,-0.0014549885230161854,0.0068401643360662704,0.7477102310072513,3.962838765360525,11
dataset_name,RF,LCB,10,151.29697561264038,0.004591422730876522,0.004580312517500325,0.0037840816371289172,0.46053122804062885,3.827729910165459,10
dataset_name,RF,LCB,11,151.71046209335327,-0.005152004881948521,-0.0036097676092495985,0.003601991140863557,0.024216192050980377,3.7565142606720165,13
dataset_name,RF,LCB,12,147.85719895362854,-0.0015119698214612043,-0.0011783897799982064,0.0025730084362412036,0.2055265505264658,3.9304675433770013,10
dataset_name,RF,LCB,13,154.4727702140808,0.0036747600911805974,0.0022546209794054193,0.00921811085520715,0.32543701082623183,4.489979740556507,11
dataset_name,RF,LCB,14,163.27384686470032,0.0017419932683305096,0.001427445261602657,0.003352646095269489,0.08091802300131072,3.949763031490039,12
dataset_name,RF,LCB,15,168.32405877113342,0.002096223582663938,0.002250547035317651,0.007209692940426275,0.005739190877653035,4.036463520191472,13
dataset_name,RF,LCB,16,173.30660152435303,0.002073424360522749,0.001086664700847598,0.00676774650837128,0.49474674495235244,3.988580236941316,15
dataset_name,RF,LCB,17,158.0019233226776,0.0025663801203577815,0.0027095188967355952,0.007197451232906843,0.1079760473506762,3.967882557694423,12
dataset_name,RF,LCB,18,160.8816499710083,-0.0039784775594697884,-0.0004955396526066344,0.00612098805582766,0.13116480456111462,3.9621973597062503,14
dataset_name,RF,LCB,19,151.93243718147278,0.002073840498069559,0.005279230769298718,0.014922896298944563,0.06499631657960529,3.957175462916957,13
dataset_name,RF,LCB,20,157.4308934211731,0.008453938872993162,0.008879568912912384,0.004995729786679796,0.027560544950721553,3.9641132951696805,14
dataset_name,RF,LCB,21,165.79845595359802,-0.0009159312397083939,0.00034806383529378674,0.005445160203612277,0.004351542877233678,4.366833381630305,15
dataset_name,RF,LCB,22,156.3120732307434,0.016650144900869048,0.01632175262106169,0.011440822258402568,0.044382268566726585,4.339354495323068,13
dataset_name,RF,LCB,23,143.96879315376282,0.0028842440921522275,0.005234132705222943,0.011067123662740657,0.0540947366597605,4.946953652050762,9
dataset_name,RF,LCB,24,146.8463213443756,0.008730310918068866,0.0035492261540791816,0.008732641426611489,0.03648819974444315,4.909621944978692,10
dataset_name,RF,LCB,25,156.88034534454346,0.007899417396881074,0.008213924587472169,0.002369595293682707,0.04727103275062908,4.749758343008907,13
dataset_name,RF,LCB,26,140.59155797958374,0.0028329403645249145,-0.0002888714610353938,0.00620877798347393,0.03548873868411664,4.279385828948156,8
dataset_name,RF,LCB,27,158.64626550674438,0.0036225547446003905,0.006645570109573153,0.0059375048432920245,0.046980644584691186,4.238985177026964,14
dataset_name,RF,LCB,28,158.57121324539185,0.004307363379834722,0.00913543178790936,0.008257198806099063,0.030548958051835183,4.425166224348316,13
dataset_name,RF,LCB,29,157.98439931869507,0.013938661588139346,0.011966337526574073,0.005202869310840981,0.046713591548603176,4.387032285843159,14
