dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,6.209339380264282,-0.019461066516413248,-0.020178206889198243,0.008877665347055383,2.43075056778473,3.4288758752376007,15
dataset_name,RF,LCB,1,6.269471645355225,-0.022331788988821072,-0.01858332071579871,0.009428180747313842,2.964630246506867,1.919865564777205,5
dataset_name,RF,LCB,2,7.131004810333252,-0.014884498350813416,-0.015124940575245438,0.008421810569657257,1.611829307557815,2.9861546717874874,6
dataset_name,RF,LCB,3,6.4029929637908936,-0.019190909040011982,-0.01906116390364576,0.0048399081924880094,4.509781223032633,0.9548581064535537,12
dataset_name,RF,LCB,4,7.710644245147705,-0.022951688297836968,-0.02452550043949208,0.0046901344710175855,3.743369773896765,1.0214903707794427,15
dataset_name,RF,LCB,5,13.126359462738037,-0.09262242643606555,-0.09274656468408296,0.006594861191885497,0.04695574258861287,3.958236302750106,13
dataset_name,RF,LCB,6,7.649698257446289,-0.019731236873335268,-0.0202611766002999,0.0031074223188633904,2.035185193473529,4.679770955257306,14
dataset_name,RF,LCB,7,16.339311838150024,-0.09639265720739684,-0.09121107926164713,0.012471665099529081,0.24852030789897833,4.176596059024271,13
dataset_name,RF,LCB,8,8.196479558944702,-0.018052458904642084,-0.022885928089638366,0.008568247866592708,1.4884192128100504,3.6084136809190337,7
dataset_name,RF,LCB,9,8.964547872543335,-0.022978381864324337,-0.022044865867973832,0.003960720639663661,1.466674999549889,3.7165172612304915,5
dataset_name,RF,LCB,10,8.65798020362854,-0.02938167017941813,-0.027967446199532897,0.00871744773633403,1.7529914714869537,4.44409025046069,5
dataset_name,RF,LCB,11,15.07139801979065,-0.09347075560702126,-0.09801886172211668,0.012574769994838052,0.12665390242378807,3.544570499511153,15
dataset_name,RF,LCB,12,8.379404544830322,-0.02315050244400463,-0.022127958115098503,0.0069920831819705286,1.528581419844461,2.806940006492743,13
dataset_name,RF,LCB,13,7.613004446029663,-0.020500141430791787,-0.02379318811912961,0.00697224798340952,1.4901416922907986,3.1504782052120897,13
dataset_name,RF,LCB,14,9.671435594558716,-0.018611658728498893,-0.018378356826347114,0.004481856924336238,1.4802775087682545,4.2013510543663015,15
dataset_name,RF,LCB,15,8.202786207199097,-0.016730027839693018,-0.01613132132323195,0.0056137395131445654,1.4774441155260734,1.9889442949144418,10
dataset_name,RF,LCB,16,9.132537603378296,-0.020603555782586092,-0.020278875578446674,0.0062761832452300674,1.4759926575533542,4.528649635147449,10
dataset_name,RF,LCB,17,7.604093551635742,-0.0180988352198787,-0.02149159406137246,0.007177061466927271,1.471466073725734,3.411174028802454,13
dataset_name,RF,LCB,18,8.096474885940552,-0.01850862631579699,-0.017122923407502058,0.004261642547401701,1.470934595091039,3.2669507851591093,11
dataset_name,RF,LCB,19,8.455381870269775,-0.02176097630775649,-0.022335101921105372,0.010183125063536622,1.145512751194117,3.081397303338022,9
dataset_name,RF,LCB,20,7.821852684020996,-0.019540190906159504,-0.01921083321361018,0.0027999610807782345,1.3062989966046017,3.6584641584681843,11
dataset_name,RF,LCB,21,8.075540781021118,-0.023058372066726167,-0.021536040115352643,0.0032554168103031854,1.2291233591754638,3.297173044210883,10
dataset_name,RF,LCB,22,8.78882908821106,-0.026948526896679835,-0.02462575773782657,0.007392299725183278,1.2182847630528972,3.026174038297721,11
dataset_name,RF,LCB,23,7.965162515640259,-0.020681578281901036,-0.021920403731579104,0.0027386276842996547,1.2151406978550743,4.153692687191897,15
dataset_name,RF,LCB,24,9.293566703796387,-0.02041663330178506,-0.018023114714686456,0.004173055003189713,1.1808159168953125,4.116596787390461,9
dataset_name,RF,LCB,25,8.859202146530151,-0.02028086079134097,-0.02217499631200579,0.007423629831829298,1.1757822501068012,4.063171590136995,8
dataset_name,RF,LCB,26,9.332309484481812,-0.015705569036365507,-0.014895593360508535,0.0019582734139444885,1.1620971383917436,3.4664251168633258,7
dataset_name,RF,LCB,27,9.442353010177612,-0.009620424939827498,-0.011898339003855252,0.006371351406768748,1.155593290636778,4.389407023021437,7
dataset_name,RF,LCB,28,9.600965738296509,-0.018893637853511926,-0.020545730139815706,0.0038452292181759243,1.1510399401328895,4.015956962165638,8
dataset_name,RF,LCB,29,10.209704160690308,-0.017726600511327618,-0.01830098744291301,0.008357738684762818,1.1485313063705676,1.1561979624568741,6
