dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,179.87117910385132,0.24166666666666667,0.2533333333333333,0.020816659994661334,2.43075056778473,3.4288758752376007,12
dataset_name,RF,LCB,1,123.71564960479736,0.48,0.48,0.0282842712474619,2.964630246506867,1.919865564777205,5
dataset_name,RF,LCB,2,134.9724748134613,0.2833333333333333,0.27999999999999997,0.008498365855987977,2.3634135137764654,0.3903258306102807,12
dataset_name,RF,LCB,3,67.88575148582458,0.44,0.43200000000000005,0.02039607805437114,4.059225947208436,3.0907360552309604,5
dataset_name,RF,LCB,4,92.03250646591187,0.35714285714285715,0.3485714285714286,0.023211538298959892,3.92601608170656,4.32157959493618,7
dataset_name,RF,LCB,5,124.1843843460083,0.4,0.39714285714285713,0.005714285714285716,1.3584994141855624,1.2153303092250276,7
dataset_name,RF,LCB,6,141.55385994911194,0.29,0.288,0.027856776554368242,2.9126166249401573,3.1659087912802306,10
dataset_name,RF,LCB,7,83.74560928344727,0.3125,0.325,0.02091650066335188,4.39683123107909,0.7133464826009853,8
dataset_name,RF,LCB,8,68.67330050468445,0.38333333333333336,0.3933333333333333,0.02260776661041757,4.483662912517557,2.4578913133914124,6
dataset_name,RF,LCB,9,89.29270434379578,0.42,0.43199999999999994,0.03487119154832539,3.562273516635887,1.6802677904063865,5
dataset_name,RF,LCB,10,97.4992847442627,0.48,0.5,0.05366563145999494,0.10602174343300684,4.148817690656868,5
dataset_name,RF,LCB,11,84.85754084587097,0.52,0.512,0.027129319932501096,0.014942759177212075,4.058816685750729,5
dataset_name,RF,LCB,12,96.6763551235199,0.48,0.46799999999999997,0.027129319932501072,2.009432996269397,4.7658203098758145,5
dataset_name,RF,LCB,13,61.52534508705139,0.45,0.4600000000000001,0.03265986323710905,0.21949881444792294,4.537696488983425,6
dataset_name,RF,LCB,14,87.47558903694153,0.48333333333333334,0.4833333333333334,0.023570226039551594,0.4858867898160773,3.9439623378136335,6
dataset_name,RF,LCB,15,96.00746774673462,0.5,0.47333333333333333,0.06377042156569664,0.9160383747543244,3.641494001938182,6
dataset_name,RF,LCB,16,106.31601166725159,0.45714285714285713,0.44571428571428573,0.013997084244475308,0.3421480506737849,3.870951595063918,7
dataset_name,RF,LCB,17,122.08709001541138,0.45714285714285713,0.44000000000000006,0.035456210417116725,0.5334657077849181,4.010411760119106,7
dataset_name,RF,LCB,18,101.90290117263794,0.44,0.43599999999999994,0.03878143885933063,2.4040268401476075,3.5004296497535465,5
dataset_name,RF,LCB,19,94.84654426574707,0.45714285714285713,0.4514285714285714,0.014568627181693676,0.0647243260167811,4.089315093353471,7
dataset_name,RF,LCB,20,73.27313327789307,0.45,0.4425,0.039210967853395305,0.14133639972670908,4.80387627763433,8
dataset_name,RF,LCB,21,78.5566418170929,0.4125,0.42750000000000005,0.024238399287081654,0.02382082095361413,4.056926673320464,8
dataset_name,RF,LCB,22,91.05436277389526,0.5,0.508,0.03709447398198283,0.05647041736028564,0.0054883095844981584,5
dataset_name,RF,LCB,23,168.31010150909424,0.4,0.41555555555555557,0.056042312057415514,0.016314693027876484,3.4973833429264967,9
dataset_name,RF,LCB,24,74.57345604896545,0.54,0.544,0.008000000000000007,0.051072239988815764,0.11907836593940381,5
dataset_name,RF,LCB,25,65.25779318809509,0.5,0.5,0.031622776601683784,0.05317563607267281,0.5444480391048828,6
dataset_name,RF,LCB,26,50.08859467506409,0.5,0.4966666666666667,0.030550504633038947,0.04557303778070158,1.2433810053077563,6
dataset_name,RF,LCB,27,49.36529302597046,0.48333333333333334,0.4866666666666667,0.02867441755680875,0.03891141679627048,2.2164775656712044,6
dataset_name,RF,LCB,28,60.23030185699463,0.4857142857142857,0.4714285714285714,0.03614031611621005,0.00385207979780861,0.6453859947128603,7
dataset_name,RF,LCB,29,59.75248885154724,0.45,0.45249999999999996,0.016583123951777,0.05491546563110087,0.35438194436413784,8
