"id","id_openstreetmap","nome","latitude","longitude"
68,"2962486","Lago di Piediluco",42.5367024066409,12.754343879836075

69,"2960961","L'acqua termale di Parrano",42.87645585539996,12.101696753742823

70,"4132009","Parco archeologico industriale di Campacci di Marmore",42.549697945335986,12.719349583327157

71,"4136483","Il piccolo borgo di Castelvecchio di Preci",42.89022912410049,13.019511622940822

72,"4136875","Usigni",42.69732533765139,12.933933838553578

73,"4138441","Gli Antichi Bagni di Triponzo",42.83996258757077,12.948165999780716

74,"4133298","Il Vinosanto Affumicato dell'Alta Valle del Tevere",43.45733515599782,12.231973155437348

75,"4129669","Mazzafegati",43.46398650263478,12.240378088057192

76,"4129869","Capocollo",42.93811975,12.621451100611427

77,"4129902","Lombetto",42.93811975,12.621451100611427

78,"4129853","Ricotta",42.93811975,12.621451100611427

79,"4129934","Sanguinaccio",42.93811975,12.621451100611427

80,"4129966","Patata rossa di Colfiorito",43.0261498532631,12.889726144117

81,"4130096","Caciotta",42.93811975,12.621451100611427

82,"4130502","Fichi Girotti",42.55465155432991,12.416100393894817

83,"4130519","Fava cottòra dell’Amerino",42.7186152,12.1090156

84,"4131205","Sedano nero di Trevi",42.87740914026675,12.747713512420104

85,"4135629","Coglioni di mulo",42.7923436356258,13.092694661486895

86,"4135914","La lenticchia di Castelluccio di Norcia IGP",42.82910526070188,13.205633908524076

87,"4136056","Pecorino",42.93811975,12.621451100611427

88,"4137246","Fagiolo secondo del Piano di Orvieto",42.71931757750979,12.11086387266

89,"4129771","Il tartufo nero in Umbria",42.81710965219677,12.91933119327927

90,"4129999","Ricotta salata della Valnerina",42.5565448,12.6927778

91,"4130078","La Roveja di Civita di Cascia",42.71687974948143,13.013556905576184

92,"2965448","Lago di Corbara",42.7186152,12.1087907

93,"4421957","Il Bacino del Rio Grande",42.5562989,12.4147146

94,"4137278","Vini DOC Orvieto - Grechetto di Orvieto",42.71931757750979,12.11086387266

95,"4457104","La necropoli del Vallone di San Lorenzo a Montecchio",42.662222037026545,12.261720071277624

96,"2957907","Gola del Bottaccione",43.36551554567253,12.583256163378396

97,"2963738","Le Tane del Diavolo a Parrano",42.8768082,12.1029388

98,"4132921","Museo della Memoria, Assisi 1943-1944",43.069562544781554,12.61423635055753

99,"2965255","Preci e l'antica scuola di chirurgia",42.878822861022265,13.03884305567996

100,"2966039","Fonti di Valcasana",42.71316193949269,12.834233149142547

101,"4133907","Santuario Madonna Bruna",42.81964846906965,12.688592012998878

102,"4132613","Museo Malacologico Malakos di Città  di Castello",43.43727739504971,12.249286697417643

103,"4134400","Villa Cahen",42.81255736409768,11.973852823250281

104,"4134434","Chiesa di Santa Maria Assunta - Allerona",42.81241415685079,11.972457415186812

105,"4134213","Farro di Monteleone di Spoleto DOP",42.65168382770705,12.951865368787674

106,"4129950","Cicerchia",42.82886265924215,13.20581329796974

107,"4133230","Il Porto Romano di Bevagna",42.93152669449321,12.609010531916349

108,"4132562","La Rocca di Alviano",42.58771380211135,12.295627279794937

109,"4134128","Vini DOC e DOCG Montefalco - Sagrantino",42.893653314401845,12.652384549642203

110,"4467422","Il Foro romano di Assisi",43.06985868203994,12.618942057477968

111,"4492192","La Necropoli del Lauscello",42.67351007514379,12.025394910693837

112,"4133248","Il tartufo bianco e la sua conservazione",42.46082035015615,14.228165347986168

113,"4135302","Il Centro Geografico d'Italia Peninsulare -Ponte Cardona",42.51761287715293,12.515624122728886

114,"4134556","Ceselli: torrentismo, rafting e trekking",42.685722244810314,12.818207352318849

115,"4446206","Le Cascate de Lu Cugnuntu",42.8790089,13.038888981182936

116,"2960170","Parco di Archeologia Arborea di San Lorenzo di Lerchi",43.47451355670185,12.190391850295288

117,"4130392","Olio extravergine d'oliva DOP Umbria",42.93811975,12.621451100611427

118,"4131189","Vini Doc Todi",42.78234841470683,12.406457474801933

119,"4131773","Trebbiano Spoletino",42.73440445915561,12.738145708603971

120,"4131822","Ciliegiolo",42.55720825,12.414770146277023

121,"4132180","Vini Doc Amelia",42.558788961740845,12.41209997449598

122,"4133127","Vini Doc Colli Altotiberini",43.46398650263478,12.240378088057192

123,"4132385","La Basilica di Santa Maria degli Angeli e Palazzo del Capitano",43.058500730270794,12.57958599958298

124,"4131566","Il Parco del Monte Tezio",43.18979909023311,12.344351089587343

125,"4137704","Tomba del Faggeto",43.221099752868135,12.298145569971268

126,"4132698","Chiesa di San Domenico",42.520811720846204,12.51443219656217

127,"11111","Acquedotto della Formina",42.5176039,12.5159083

128,"4134366","Abbazia di San Cassiano",42.524080072247116,12.508231162428448

129,"4134230","Chiesa di Santa Margherita Narni",42.51735420389024,12.518891159090796

130,"4130344","Chiesa di Santa Maria Impensole",42.52000438034428,12.515165710098504

131,"4132196","Il raffinato mosaico di Bevagna",42.93477893036626,12.609269817382984

132,"4133212","Museo dinamico del Laterizio e delle Terrecotte",42.910570782104145,12.337538613779417

133,"4136858","Teatro della Concordia - Marsciano",42.90970832793852,12.337230340442986

134,"4136824","Chiesa di Santa Maria Assunta - Marsciano",42.89928898455514,12.350980945110248

135,"4136705","La ceramica di Deruta",42.98216974940504,12.419890769303157

136,"4135008","Chiesa di San Giovanni Battista - Marsciano",42.910449354330886,12.337884064629472

